"earnings_level","subscribers","video_views","uploads","video_views_for_the_last_30_days","subscribers_for_last_30_days","Population","Aggregated_GDP","channel_lifetime","predCountry","predchannel_type"
0,16.8310454588144,23.3182966603358,6.61357440299836,16.7477836384705,2.484906649788,17.454194903937,300.055622409048,6172,0.00079507369908342,0.736842881919617
0,16.5302053017852,21.5987502250112,5.06890420222023,4.45434729625351,11.4438390546822,19.2235739064092,24620.4447670189,6433,0.00079507369908342,0.597828239571013
1,16.8408016337598,22.7589085593188,4.4188406077966,19.0791122484238,12.2060726455302,17.6208101638746,5750.02317845082,2471,0.999982990481858,0.865305839032383
1,17.3906612467499,24.0234766078008,6.4831073514572,19.5261726470454,12.8992198260901,17.6208101638746,5750.02317845082,3790,0.999982990481858,0.866666273347219
1,16.5818296671905,22.6003351048004,8.49821422481843,17.9757208851461,12.2060726455302,17.6208101638746,5750.02317845082,3331,0.999982990481858,0.736842881919617
1,16.5302053017852,22.9721358937124,6.82546003625531,20.0545048805813,13.4588356140255,17.6208101638746,5750.02317845082,2637,0.999982990481858,0.840908067288761
1,16.6890751975441,23.5709379233699,7.18235211188526,20.2770256082194,13.3046849341983,17.6208101638746,5750.02317845082,3656,0.999982990481858,0.866666273347219
1,16.9245715168253,22.8076994237341,4.06044301054642,18.0955321521826,11.4438390546822,17.6208101638746,5750.02317845082,2631,0.999982990481858,0.866666273347219
1,17.2559286527797,22.5458462484752,8.01532730902172,19.0661019438986,14.4573644441367,17.6208101638746,5750.02317845082,3169,0.999982990481858,0.736842881919617
1,17.8828264477985,24.7710712393916,7.31986492980897,20.2319617552242,13.3046849341983,17.6208101638746,5750.02317845082,4525,0.999982990481858,0.866666273347219
1,16.9977223984609,23.1210702400708,6.68710860786651,19.8107479788248,13.3046849341983,17.6208101638746,5750.02317845082,3565,0.999982990481858,0.865305839032383
1,16.9510047738934,22.5218791794654,7.37650812632622,17.3861412429848,11.5129254649702,17.6208101638746,5750.02317845082,6436,0.999982990481858,0.865305839032383
0,16.4616853553484,22.3582798439759,1.09861228866811,4.99043258677874,0,17.0645898316137,23702.9479746825,2909,0.571460629734721,0.597828239571013
1,17.1405465786609,23.7695891030617,5.67675380226828,18.6631640703652,11.4438390546822,17.0645898316137,23702.9479746825,3946,0.571460629734721,0.866666273347219
0,16.6604199417837,22.9097268589409,4.4188406077966,3.2188758248682,11.4438390546822,17.0645898316137,23702.9479746825,3328,0.571460629734721,0.597828239571013
1,17.0223138015982,21.8201187160942,6.02102334934953,16.9623746735222,11.4438390546822,17.0645898316137,23702.9479746825,4449,0.571460629734721,0.888885443826998
1,16.7058823158604,22.9851473739269,6.47697236288968,19.7849799759997,13.3046849341983,17.0645898316137,23702.9479746825,5156,0.571460629734721,0.899989587918486
0,16.6834094600084,22.0456474176455,6.61357440299836,16.7477836384705,11.4438390546822,17.0645898316137,23702.9479746825,3885.20323559151,0.571460629734721,3.06091601393217e-05
1,16.666217059468,22.0274864723337,6.36647044773144,16.5579621857838,11.4438390546822,17.0645898316137,23702.9479746825,4336,0.571460629734721,0.888885443826998
0,16.4473993981009,23.2189131862696,1.79175946922805,0,11.4438390546822,18.9353639456879,539.280805531429,984,0.00079507369908342,0.865305839032383
1,17.5507963848924,23.8357915827003,4.43081679884331,19.0245922574408,11.5129254649702,12.567324598962,10671.0325418163,6559,0.999796072700083,0.866666273347219
1,16.5627814722198,22.0763800491343,7.61035761831284,17.8447475482812,11.5129254649702,19.1747321166571,4014.42584845873,4914,0.862743786764432,0.865305839032383
1,16.9935643883122,23.3582455951265,6.80350525760834,20.450736381545,13.9108207377686,19.1747321166571,4014.42584845873,1252,0.862743786764432,0.840908067288761
1,17.4765048085887,23.948292001879,8.02059914989697,21.2149086412956,11.5129254649702,19.1747321166571,4014.42584845873,3365,0.862743786764432,0.866666273347219
1,16.5235607590665,23.166195540097,5.82894561761021,19.0242915442014,11.4438390546822,19.1747321166571,4014.42584845873,4219,0.862743786764432,0.866666273347219
1,16.3804599154258,22.1933411698694,6.25575004175337,17.2007817890762,11.4438390546822,19.1747321166571,4014.42584845873,4157,0.862743786764432,0.866666273347219
1,16.3881227881714,22.2512229091399,4.29045944114839,17.6913466436306,11.4438390546822,19.1747321166571,4014.42584845873,3844,0.862743786764432,0.866666273347219
1,16.4965320866786,23.1375982152255,7.09506437728713,18.5147628973135,11.5129254649702,19.1747321166571,4014.42584845873,3351,0.862743786764432,0.866666273347219
1,16.6890751975441,22.7695445195672,7.71423114484909,17.380441131609,11.4438390546822,19.1747321166571,4014.42584845873,4241,0.862743786764432,0.865305839032383
1,16.4329063907984,22.8193652841109,6.08221891037645,17.9753150916582,11.4438390546822,19.1747321166571,4014.42584845873,5236,0.862743786764432,0.866666273347219
1,16.3881227881714,22.1617192029808,7.21890970761906,17.1238613892601,11.5129254649702,19.1747321166571,4014.42584845873,3456,0.862743786764432,0.783784110396281
1,16.3881227881714,22.3972865121644,10.5121655764696,16.6827274092828,11.4438390546822,19.1747321166571,4014.42584845873,4387,0.862743786764432,0.865305839032383
